scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,23.0025,0.8948,0.8347,0.8948,3860.4279,0.0,0.0,0.0,3860.4279,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,23.0026,0.7777,0.8001,0.8001,3741.4304,0.0,0.0,0.0,3741.4304,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,23.0028,0.8791,0.7502,0.8791,3431.419,0.0,0.0,0.0,3431.419,3.0,,,,3.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,24.0026,0.8948,0.8347,0.8948,4091.4464,0.0,0.0,0.0,4091.4464,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,24.0028,0.7777,0.8001,0.8001,3948.4585,0.0,0.0,0.0,3948.4585,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,24.0029,0.898,0.773,0.898,3634.4413,0.0,0.0,0.0,3634.4413,3.0,,,,3.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,25.0027,0.8948,0.8347,0.8948,4322.4725,0.0,0.0,0.0,4322.4725,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,25.0029,0.7777,0.8001,0.8001,4155.4898,0.0,0.0,0.0,4155.4898,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,25.003,0.898,0.773,0.898,3837.4604,0.0,0.0,0.0,3837.4604,3.0,,,,3.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,26.0028,0.8948,0.8347,0.8948,4553.4919,0.0,0.0,0.0,4553.4919,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,26.003,0.7777,0.8001,0.8001,4362.5086,0.0,0.0,0.0,4362.5086,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,26.0031,0.8845,0.7554,0.8845,4037.4834,0.0,0.0,0.0,4037.4834,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,27.0029,0.8948,0.8347,0.8948,4784.5159,0.0,0.0,0.0,4784.5159,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,27.0032,0.7777,0.8001,0.8001,4569.5399,0.0,0.0,0.0,4569.5399,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,27.0033,0.8845,0.7554,0.8845,4237.5142,0.0,0.0,0.0,4237.5142,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,28.003,0.8948,0.8347,0.8948,5015.5321,0.0,0.0,0.0,5015.5321,4.0,,,,4.0,5.7932,,,,5.7932
