scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.0217,0.8482,0.7194,0.9179,0.7766,65.0,43.0,35.0,40.0,6.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0018,0.7997,0.8994,0.7997,0.8994,61.0,52.0,36.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0031,0.7488,0.7376,0.884,0.8257,64.0,47.0,59.0,34.0,12.0,7.0,8.0,0.0,1.0,1.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0218,0.8482,0.7194,0.9179,0.7766,65.0,43.0,35.0,40.0,6.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.0019,0.7997,0.8994,0.7997,0.8994,61.0,52.0,36.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.0032,0.7488,0.7376,0.884,0.8257,64.0,47.0,59.0,34.0,12.0,7.0,8.0,0.0,1.0,1.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.022,0.8387,0.716,0.9271,0.7865,65.0,43.0,34.0,40.0,7.0,8.0,2.0,0.0,4.0,0.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,21.002,0.7997,0.8994,0.7997,0.8994,61.0,52.0,36.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,21.0034,0.7488,0.7376,0.8452,0.8203,64.0,47.0,59.0,34.0,12.0,7.0,5.0,0.0,1.0,1.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.0021,0.7997,0.8994,0.7997,0.8994,61.0,52.0,36.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.0034,0.7488,0.7376,0.8452,0.8203,64.0,47.0,59.0,34.0,12.0,7.0,5.0,0.0,1.0,1.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.2392,0.8387,0.716,0.9352,0.8037,65.0,43.0,34.0,40.0,7.0,9.0,5.0,0.0,4.0,0.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,23.0021,0.7997,0.8994,0.7997,0.8994,61.0,52.0,36.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,23.0036,0.7488,0.7376,0.8507,0.8323,64.0,47.0,59.0,34.0,13.0,7.0,5.0,0.0,1.0,1.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.0022,0.7997,0.8994,0.7997,0.8994,61.0,52.0,36.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.0441,0.7488,0.7376,0.8605,0.8515,64.0,47.0,59.0,34.0,16.0,7.0,5.0,2.0,1.0,1.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.6323,0.8387,0.716,0.9353,0.8309,65.0,43.0,34.0,40.0,10.0,9.0,4.0,1.0,4.0,0.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,25.0023,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.0024,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.3332,0.8387,0.716,0.9642,0.8331,65.0,43.0,34.0,40.0,13.0,9.0,3.0,0.0,4.0,0.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.6632,0.7488,0.7376,0.8605,0.8515,64.0,47.0,59.0,34.0,16.0,7.0,5.0,2.0,1.0,1.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,27.0026,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
