scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5333.3808,0.8975,0.8082,0.9546,0.8402,219.0,6.0,2304.0,0.8975,0.9546,219.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5333.4354,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5334.4355,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5334.7104,0.9278,0.7658,0.9379,0.7702,223.0,1.0,2212.0,0.9278,0.9379,223.0,2212.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5335.4356,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5335.7105,0.9359,0.7686,0.9359,0.7686,223.0,0.0,2215.0,0.9359,0.9359,223.0,2215.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5336.0758,0.8975,0.8082,0.9546,0.8402,219.0,6.0,2304.0,0.8975,0.9546,219.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5336.4358,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5336.7106,0.9359,0.7686,0.9359,0.7686,223.0,0.0,2215.0,0.9359,0.9359,223.0,2215.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5337.4359,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5337.7107,0.9359,0.7686,0.9359,0.7686,223.0,0.0,2215.0,0.9359,0.9359,223.0,2215.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5338.436,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5338.7108,0.9359,0.7686,0.9359,0.7686,223.0,0.0,2215.0,0.9359,0.9359,223.0,2215.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5338.7723,0.9144,0.8216,0.9715,0.8536,224.0,6.0,2304.0,0.9144,0.9715,224.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5339.4361,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5339.7109,0.9359,0.7686,0.9359,0.7686,223.0,0.0,2215.0,0.9359,0.9359,223.0,2215.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5340.3422,0.9144,0.8216,0.9715,0.8536,224.0,6.0,2304.0,0.9144,0.9715,224.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5340.4361,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5340.711,0.9416,0.7895,0.9416,0.7895,225.0,0.0,2215.0,0.9416,0.9416,225.0,2215.0
