scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.0025,0.7886,0.8655,0.7997,0.8994,58.0,52.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,25.0022,0.8451,0.7847,0.8605,0.8515,80.0,54.0,59.0,36.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,25.0025,0.8651,0.8131,0.9748,0.8468,72.0,50.0,40.0,39.0,6.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,25.0026,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.0023,0.8451,0.7847,0.8605,0.8515,80.0,54.0,59.0,36.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.0026,0.8546,0.7994,0.9642,0.8331,72.0,50.0,37.0,38.0,6.0,2.0,0.0,2.0,3.0,0.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.0028,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,27.0025,0.8451,0.7847,0.8605,0.8515,80.0,54.0,59.0,36.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,27.0027,0.8546,0.7994,0.9642,0.8331,72.0,50.0,37.0,38.0,6.0,2.0,0.0,2.0,3.0,0.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,27.0029,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,28.0026,0.8388,0.7804,0.8541,0.8472,80.0,54.0,59.0,35.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,28.0027,0.8546,0.7994,0.9317,0.8277,72.0,50.0,37.0,38.0,3.0,2.0,0.0,2.0,3.0,0.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,28.0029,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,29.0027,0.8388,0.7804,0.8541,0.8472,80.0,54.0,59.0,35.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,29.0028,0.8546,0.7994,0.9317,0.8277,72.0,50.0,37.0,38.0,3.0,2.0,0.0,2.0,3.0,0.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,29.003,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,30.0028,0.8388,0.7804,0.8541,0.8472,80.0,54.0,59.0,35.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,30.0029,0.8528,0.7865,0.9281,0.8018,71.0,50.0,37.0,38.0,2.0,2.0,0.0,2.0,4.0,0.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,30.0031,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,31.0029,0.8388,0.7804,0.8541,0.8472,80.0,54.0,59.0,35.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,31.003,0.8528,0.7865,0.9281,0.8018,71.0,50.0,37.0,38.0,2.0,2.0,0.0,2.0,4.0,0.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,31.0032,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
