scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0018,0.7997,0.8994,0.8994,822.0761,754.0699,445.0413,434.0401,2455.2274,3.0,1.0,0.0,0.0,4.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0031,0.7488,0.7376,0.7488,859.1364,711.1202,804.1365,423.069,2797.4621,1.0,1.0,0.0,2.0,4.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0218,0.8482,0.7194,0.8482,937.2471,580.7754,465.6052,480.6782,2464.306,4.0,0.0,0.0,0.0,4.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.0019,0.7997,0.8994,0.8994,883.0833,806.076,481.0456,465.0438,2635.2487,3.0,1.0,0.0,0.0,4.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.0032,0.7488,0.7376,0.7488,923.1446,758.1263,863.1441,457.0734,3001.4884,1.0,1.0,0.0,2.0,4.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.022,0.8387,0.716,0.8387,1002.2591,623.7833,499.6115,520.6856,2646.3395,4.0,0.0,1.0,0.0,5.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,21.002,0.7997,0.8994,0.8994,944.0883,858.0802,517.0485,496.0463,2815.2632,3.0,1.0,0.0,0.0,4.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,21.0034,0.7488,0.7376,0.7488,987.1545,805.1336,922.1533,491.0786,3205.5201,1.0,1.0,0.0,2.0,4.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.0021,0.7997,0.8994,0.8994,1005.0948,910.0858,553.0523,527.0496,2995.2825,3.0,1.0,0.0,0.0,4.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.0034,0.7488,0.7376,0.7488,1051.1597,852.1374,981.1581,525.0814,3409.5366,1.0,1.0,0.0,2.0,4.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.2392,0.8387,0.716,0.8387,1146.376,719.1222,574.9957,609.373,3049.867,4.0,0.0,1.0,0.0,5.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,23.0021,0.7997,0.8994,0.8994,1066.0981,962.0886,589.0543,558.0513,3175.2922,3.0,1.0,0.0,0.0,4.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,23.0036,0.7488,0.7376,0.7488,1115.1691,899.1443,1040.1667,559.0864,3613.5664,1.0,1.0,0.0,2.0,4.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.0022,0.7997,0.8994,0.8994,1127.1041,1014.0937,625.0578,589.0543,3355.3099,3.0,1.0,0.0,0.0,4.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.0441,0.7488,0.7376,0.7488,1181.7638,948.0498,1101.5587,594.4648,3825.8371,1.0,1.0,0.0,2.0,4.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.6323,0.8387,0.716,0.8387,1301.9322,822.0286,656.3636,705.0998,3485.4243,4.0,0.0,1.0,0.0,5.0,3.1992,3.1295,2.2323,2.1362,2.7714
