scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,23.0021,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,23.0027,0.8438,0.919,0.8438,0.919,33.0,28.0,33.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.919,0.919,115.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,23.075,0.9437,0.812,0.9849,0.8191,39.0,24.0,22.0,17.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.9437,0.9849,102.0,9.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,24.0022,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,24.0027,0.8438,0.919,0.8438,0.919,33.0,28.0,33.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.919,0.919,115.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,24.0751,0.9437,0.812,1.0004,0.8936,39.0,24.0,22.0,17.0,6.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.9437,1.0004,102.0,9.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,25.0023,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,25.0028,0.8438,0.919,0.8438,0.919,33.0,28.0,33.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.919,0.919,115.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,25.0752,0.9462,0.8214,1.0667,0.9016,41.0,24.0,20.0,17.0,7.0,0.0,1.0,0.0,3.0,6.0,3.0,0.0,0.9462,1.0667,102.0,12.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,26.0024,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,26.0029,0.8438,0.919,0.8438,0.919,33.0,28.0,33.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.919,0.919,115.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,26.0753,0.9378,0.8179,1.0582,0.8981,41.0,24.0,20.0,16.0,7.0,0.0,1.0,0.0,3.0,6.0,3.0,1.0,0.9378,1.0582,101.0,13.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,27.0025,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,27.003,0.8438,0.919,0.8438,0.919,33.0,28.0,33.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.919,0.919,115.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,27.0754,0.9378,0.8179,1.0582,0.8981,41.0,24.0,20.0,16.0,7.0,0.0,1.0,0.0,3.0,6.0,3.0,1.0,0.9378,1.0582,101.0,13.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,28.0026,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,28.0031,0.8267,0.842,0.8267,0.842,33.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.842,0.842,112.0,9.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,28.0756,0.9378,0.8179,0.9931,0.8874,41.0,24.0,20.0,16.0,4.0,0.0,1.0,0.0,3.0,6.0,3.0,1.0,0.9378,0.9931,101.0,13.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,29.0027,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,29.0032,0.8267,0.842,0.8267,0.842,33.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.842,0.842,112.0,9.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,29.0756,0.9179,0.8022,0.966,0.8199,41.0,21.0,20.0,16.0,2.0,0.0,1.0,0.0,3.0,9.0,3.0,1.0,0.9179,0.966,98.0,16.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,30.0029,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,30.0033,0.8267,0.842,0.8267,0.842,33.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.842,0.842,112.0,9.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,30.0757,0.9248,0.8127,0.966,0.8199,41.0,21.0,21.0,16.0,2.0,0.0,0.0,0.0,3.0,9.0,3.0,1.0,0.9248,0.966,99.0,16.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,31.0029,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,31.0034,0.8267,0.842,0.8267,0.842,33.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.842,0.842,112.0,9.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,31.0758,0.9165,0.79,0.9578,0.7971,39.0,21.0,21.0,16.0,2.0,0.0,0.0,0.0,5.0,9.0,3.0,1.0,0.9165,0.9578,97.0,18.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,32.003,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,32.0035,0.8304,0.8542,0.8304,0.8542,33.0,29.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.8542,0.8542,113.0,9.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,32.0759,0.9165,0.79,0.9578,0.7971,39.0,21.0,21.0,16.0,2.0,0.0,0.0,0.0,5.0,9.0,3.0,1.0,0.9165,0.9578,97.0,18.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,33.0031,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
