util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean,default_all_running_rate_std,solver_called_rate_std,solver_failed_rate_std,default_optimal_rate_std,solver_optimal_rate_std,solver_feasible_rate_std,other_rate_std,solver_duration_ms_mean_std,cpu_delta_mean_std,mem_delta_mean_std
100.0,16,64,4,2,1,nodes16_pods64_prio2_util100_timeout01,100,100,0,0.0000,100,1.0000,10,0.1000,0,0.0000,1,0.0100,89,0.8900,90,0.9000,0,0.0000,167773.0,1677.73,4.921,4.942,0.0492,0.0494,0.0,0.0,0.30151134457776363,0.0,0.09999999999999999,0.31446603773522014,0.0,79.69231931356848,0.04384529621293487,0.039826436578045125
100.0,16,64,4,2,10,nodes16_pods64_prio2_util100_timeout10,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,5,0.0500,94,0.9400,99,0.9900,0,0.0000,1026729.0,10267.29,7.108,7.174,0.0711,0.0717,0.0,0.0,0.09999999999999999,0.0,0.2190429135575903,0.23868325657594203,0.0,1710.4866121674381,0.03509890210950948,0.033628877681858696
100.0,16,64,4,2,20,nodes16_pods64_prio2_util100_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,9,0.0900,91,0.9100,100,1.0000,0,0.0000,1939601.0,19396.01,7.175,7.257,0.0717,0.0726,0.0,0.0,0.0,0.0,0.28762349126466136,0.28762349126466136,0.0,4130.784300746401,0.03340004687591218,0.031365958192494825
100.0,16,64,4,4,1,nodes16_pods64_prio4_util100_timeout01,100,100,0,0.0000,100,1.0000,22,0.2200,4,0.0400,32,0.3200,42,0.4200,74,0.7400,0,0.0000,161400.0,1614.0,1.713,1.468,0.0171,0.0147,0.0,0.0,0.4163331998932266,0.19694638556693236,0.4688261722621506,0.49604496374885826,0.0,173.68740061188413,0.036035800100579,0.03408452950408957
100.0,16,64,4,4,10,nodes16_pods64_prio4_util100_timeout10,100,100,0,0.0000,100,1.0000,4,0.0400,5,0.0500,61,0.6100,30,0.3000,91,0.9100,0,0.0000,516873.0,5168.73,3.188,3.047,0.0319,0.0305,0.0,0.0,0.19694638556693236,0.21904291355759034,0.4902071300001973,0.4605661864718382,0.0,3906.854434558355,0.026669424099859798,0.026039385475844015
100.0,16,64,4,4,20,nodes16_pods64_prio4_util100_timeout20,100,100,0,0.0000,100,1.0000,2,0.0200,7,0.0700,69,0.6900,22,0.2200,91,0.9100,0,0.0000,768536.0,7685.36,3.349,3.071,0.0335,0.0307,0.0,0.0,0.14070529413628965,0.2564323999762428,0.46482319871173167,0.4163331998932266,0.0,7407.083995988999,0.02692207047735889,0.024722007943686074
100.0,16,128,8,1,1,nodes16_pods128_prio1_util100_timeout01,100,100,0,0.0000,100,1.0000,80,0.8000,0,0.0000,0,0.0000,20,0.2000,20,0.2000,0,0.0000,154463.0,1544.63,0.091,0.185,0.0009,0.0019,0.0,0.0,0.40201512610368484,0.0,0.0,0.4020151261036849,0.0,200.87901052296846,0.01151993879753663,0.011916693155300076
100.0,16,128,8,1,10,nodes16_pods128_prio1_util100_timeout10,100,100,0,0.0000,100,1.0000,2,0.0200,0,0.0000,0,0.0000,98,0.9800,98,0.9800,0,0.0000,1075501.0,10755.01,5.059,5.056,0.0506,0.0506,0.0,0.0,0.14070529413628968,0.0,0.0,0.14070529413628968,0.0,92.81288823338181,0.019421478789830544,0.02005916501278407
100.0,16,128,8,1,20,nodes16_pods128_prio1_util100_timeout20,100,100,0,0.0000,100,1.0000,2,0.0200,0,0.0000,0,0.0000,98,0.9800,98,0.9800,0,0.0000,2074952.0,20749.52,5.127,5.173,0.0513,0.0517,0.0,0.0,0.14070529413628968,0.0,0.0,0.14070529413628968,0.0,105.29357515868178,0.018078311689296456,0.019012943491264568
100.0,16,128,8,2,1,nodes16_pods128_prio2_util100_timeout01,100,100,0,0.0000,100,1.0000,34,0.3400,0,0.0000,0,0.0000,66,0.6600,66,0.6600,0,0.0000,167262.0,1672.62,1.061,1.077,0.0106,0.0108,0.0,0.0,0.47609522856952335,0.0,0.0,0.47609522856952335,0.0,84.35911451657255,0.024568969095675155,0.024077675229233472
100.0,16,128,8,2,10,nodes16_pods128_prio2_util100_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,1073842.0,10738.42,4.278,4.35,0.0428,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.48041382112707,0.015819422916596562,0.015202006778745012
