scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
default,nodes=32_prio=4_arrival=8s,3,20.0024,0.7857,0.8528,0.8528,895.1083,843.1017,511.0615,485.0585,2734.33,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,20.0026,0.8573,0.8155,0.8573,989.1264,826.1051,945.1206,499.0634,3259.4155,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,21.0021,0.908,0.7689,0.908,1083.1105,740.075,565.0574,584.0595,2972.3024,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,21.0025,0.7857,0.8528,0.8528,951.1135,896.1066,547.0649,516.0614,2910.3463,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,21.0026,0.8623,0.827,0.8623,1062.1335,881.1105,1012.1271,533.0667,3488.4377,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,22.0022,0.908,0.7689,0.908,1154.1179,792.0805,601.0612,624.0637,3171.3233,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,22.0026,0.7857,0.8528,0.8528,1007.1221,949.1148,583.0704,547.0661,3086.3734,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,22.0028,0.8663,0.8346,0.8663,1137.1452,936.1191,1079.1375,567.072,3719.4738,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,23.0023,0.908,0.7689,0.908,1225.1246,844.0854,637.0646,664.0674,3370.342,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,23.0028,0.7857,0.8528,0.8528,1063.1309,1002.1231,619.0761,578.071,3262.4011,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
