scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
default,nodes=16_prio=1_arrival=4s,3,48.0053,0.8419,0.7469,0.9235,0.758,110.0,3.0,24.0,0.8419,0.9235,110.0,24.0
default,nodes=16_prio=1_arrival=4s,3,48.0056,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,49.0052,0.8326,0.725,0.9928,0.7541,100.0,6.0,42.0,0.8326,0.9928,100.0,42.0
default,nodes=16_prio=1_arrival=4s,3,49.0055,0.8419,0.7469,0.9235,0.758,110.0,3.0,24.0,0.8419,0.9235,110.0,24.0
default,nodes=16_prio=1_arrival=4s,3,49.0057,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,50.0053,0.8326,0.725,1.0314,0.7691,100.0,8.0,42.0,0.8326,1.0314,100.0,42.0
default,nodes=16_prio=1_arrival=4s,3,50.0056,0.8419,0.7469,0.9235,0.758,110.0,3.0,24.0,0.8419,0.9235,110.0,24.0
default,nodes=16_prio=1_arrival=4s,3,50.0058,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,51.0054,0.8868,0.7704,1.1256,0.8234,108.0,10.0,42.0,0.8868,1.1256,108.0,42.0
default,nodes=16_prio=1_arrival=4s,3,51.0057,0.8419,0.7469,0.9235,0.758,110.0,3.0,24.0,0.8419,0.9235,110.0,24.0
default,nodes=16_prio=1_arrival=4s,3,51.0059,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,52.0055,0.8868,0.7704,1.1256,0.8234,108.0,10.0,42.0,0.8868,1.1256,108.0,42.0
default,nodes=16_prio=1_arrival=4s,3,52.0058,0.8419,0.7469,0.9235,0.758,110.0,3.0,24.0,0.8419,0.9235,110.0,24.0
default,nodes=16_prio=1_arrival=4s,3,52.0061,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,53.0056,0.8868,0.7704,1.0469,0.7994,108.0,6.0,42.0,0.8868,1.0469,108.0,42.0
default,nodes=16_prio=1_arrival=4s,3,53.0059,0.8419,0.7469,0.9235,0.758,110.0,3.0,24.0,0.8419,0.9235,110.0,24.0
default,nodes=16_prio=1_arrival=4s,3,53.0062,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,54.0057,0.8792,0.7621,1.0393,0.7911,106.0,6.0,44.0,0.8792,1.0393,106.0,44.0
default,nodes=16_prio=1_arrival=4s,3,54.006,0.8419,0.7469,0.9235,0.758,110.0,3.0,24.0,0.8419,0.9235,110.0,24.0
default,nodes=16_prio=1_arrival=4s,3,54.0064,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,55.0058,0.8792,0.7621,1.0393,0.7911,106.0,6.0,44.0,0.8792,1.0393,106.0,44.0
default,nodes=16_prio=1_arrival=4s,3,55.0061,0.8419,0.7469,0.9235,0.758,110.0,3.0,24.0,0.8419,0.9235,110.0,24.0
default,nodes=16_prio=1_arrival=4s,3,55.0065,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,56.0059,0.8792,0.7621,1.0393,0.7911,106.0,6.0,44.0,0.8792,1.0393,106.0,44.0
default,nodes=16_prio=1_arrival=4s,3,56.0062,0.8341,0.742,0.9156,0.7532,109.0,3.0,25.0,0.8341,0.9156,109.0,25.0
default,nodes=16_prio=1_arrival=4s,3,56.0066,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,57.0059,0.8792,0.7621,1.0393,0.7911,106.0,6.0,44.0,0.8792,1.0393,106.0,44.0
default,nodes=16_prio=1_arrival=4s,3,57.0064,0.8341,0.742,0.9156,0.7532,109.0,3.0,25.0,0.8341,0.9156,109.0,25.0
default,nodes=16_prio=1_arrival=4s,3,57.0067,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
