scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
default,nodes=16_prio=4_arrival=4s,3,22.0024,0.9059,0.8024,0.9764,0.8156,38.0,24.0,22.0,16.0,3.0,0.0,0.0,0.0,9.0,6.0,4.0,0.0
default,nodes=16_prio=4_arrival=4s,3,23.0023,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,23.0025,0.8279,0.881,0.8438,0.919,31.0,28.0,33.0,21.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,23.0025,0.9144,0.8059,0.9849,0.8191,38.0,24.0,22.0,17.0,3.0,0.0,0.0,0.0,9.0,6.0,4.0,0.0
default,nodes=16_prio=4_arrival=4s,3,24.0024,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,24.0026,0.9227,0.8286,1.0004,0.8936,40.0,24.0,22.0,17.0,5.0,0.0,0.0,0.0,9.0,6.0,4.0,0.0
default,nodes=16_prio=4_arrival=4s,3,24.0026,0.8279,0.881,0.8438,0.919,31.0,28.0,33.0,21.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,25.0026,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,25.0027,0.9239,0.8259,1.0667,0.9016,40.0,24.0,21.0,17.0,8.0,0.0,0.0,0.0,9.0,6.0,7.0,0.0
default,nodes=16_prio=4_arrival=4s,3,25.0027,0.8279,0.881,0.8438,0.919,31.0,28.0,33.0,21.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,26.0026,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,26.0028,0.8279,0.881,0.8438,0.919,31.0,28.0,33.0,21.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,26.0028,0.9154,0.8224,1.0582,0.8981,40.0,24.0,21.0,16.0,8.0,0.0,0.0,0.0,9.0,6.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,27.0027,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,27.0029,0.9154,0.8224,1.0582,0.8981,40.0,24.0,21.0,16.0,8.0,0.0,0.0,0.0,9.0,6.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,27.0029,0.8279,0.881,0.8438,0.919,31.0,28.0,33.0,21.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,28.0028,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
