pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
4,10,8,100.0,nodes8_pods32_prio1_util100_timeout10,0.0,0.0,8.0,91.0,1.0,0.0,100.0,10210.5,0.122,0.118,100
4,10,8,105.0,nodes8_pods32_prio1_util105_timeout10,0.0,0.0,1.0,99.0,0.0,0.0,100.0,10421.8,0.114,0.108,100
4,10,16,90.0,nodes16_pods64_prio1_util090_timeout10,1.0,0.0,60.0,37.0,2.0,0.0,99.0,6642.6,0.070,0.063,100
4,10,16,95.0,nodes16_pods64_prio1_util095_timeout10,0.0,0.0,1.0,95.0,4.0,0.0,100.0,10741.6,0.105,0.100,100
4,10,16,100.0,nodes16_pods64_prio1_util100_timeout10,0.0,0.0,0.0,100.0,0.0,0.0,100.0,10727.1,0.106,0.105,100
4,10,16,105.0,nodes16_pods64_prio1_util105_timeout10,0.0,0.0,0.0,100.0,0.0,0.0,100.0,10698.7,0.098,0.101,100
4,10,32,90.0,nodes32_pods128_prio1_util090_timeout10,0.0,0.0,8.0,52.0,40.0,0.0,100.0,10756.5,0.043,0.044,100
4,10,32,95.0,nodes32_pods128_prio1_util095_timeout10,0.0,0.0,0.0,90.0,10.0,0.0,100.0,10875.1,0.084,0.084,100
4,10,32,100.0,nodes32_pods128_prio1_util100_timeout10,0.0,0.0,0.0,93.0,7.0,0.0,100.0,10855.9,0.085,0.084,100
4,10,32,105.0,nodes32_pods128_prio1_util105_timeout10,0.0,0.0,0.0,93.0,7.0,0.0,100.0,10836.0,0.079,0.077,100
4,10,64,90.0,nodes64_pods256_prio1_util090_timeout10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.000,-0.000,100
4,10,64,95.0,nodes64_pods256_prio1_util095_timeout10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.000,0.000,100
4,10,64,100.0,nodes64_pods256_prio1_util100_timeout10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,0.000,-0.000,100
4,10,64,105.0,nodes64_pods256_prio1_util105_timeout10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,0.001,0.000,100
4,20,4,90.0,nodes4_pods16_prio1_util090_timeout20,23.0,1.0,74.0,1.0,1.0,0.0,77.0,1086.0,0.082,0.092,100
4,20,4,95.0,nodes4_pods16_prio1_util095_timeout20,2.0,6.0,71.0,14.0,7.0,0.0,98.0,3659.8,0.086,0.081,100
4,20,4,100.0,nodes4_pods16_prio1_util100_timeout20,1.0,12.0,83.0,3.0,1.0,0.0,99.0,1812.9,0.080,0.076,100
4,20,4,105.0,nodes4_pods16_prio1_util105_timeout20,0.0,6.0,77.0,15.0,2.0,0.0,100.0,4555.9,0.087,0.074,100
4,20,8,90.0,nodes8_pods32_prio1_util090_timeout20,4.0,0.0,96.0,0.0,0.0,0.0,96.0,1839.9,0.077,0.076,100
4,20,8,95.0,nodes8_pods32_prio1_util095_timeout20,0.0,0.0,39.0,61.0,0.0,0.0,100.0,15602.9,0.117,0.118,100
4,20,8,100.0,nodes8_pods32_prio1_util100_timeout20,0.0,0.0,11.0,88.0,1.0,0.0,100.0,18965.4,0.124,0.117,100
