pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
4,10,16,90.0,nodes16_pods64_prio1_util090_timeout10,1.0 ± 10.0,0.0 ± 0.0,60.0 ± 49.2,37.0 ± 48.5,2.0 ± 14.1,0.0 ± 0.0,99.0 ± 0.0,6642.6 ± 3792.0,0.070 ± 0.035,0.063 ± 0.030,100
4,10,16,95.0,nodes16_pods64_prio1_util095_timeout10,0.0 ± 0.0,0.0 ± 0.0,1.0 ± 10.0,95.0 ± 21.9,4.0 ± 19.7,0.0 ± 0.0,100.0 ± 0.0,10741.6 ± 455.9,0.105 ± 0.042,0.100 ± 0.041,100
4,10,16,100.0,nodes16_pods64_prio1_util100_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,10727.1 ± 81.3,0.106 ± 0.034,0.105 ± 0.037,100
4,10,16,105.0,nodes16_pods64_prio1_util105_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,10698.7 ± 86.6,0.098 ± 0.037,0.101 ± 0.040,100
4,10,32,90.0,nodes32_pods128_prio1_util090_timeout10,0.0 ± 0.0,0.0 ± 0.0,8.0 ± 27.3,52.0 ± 50.2,40.0 ± 49.2,0.0 ± 0.0,100.0 ± 0.0,10756.5 ± 848.7,0.043 ± 0.041,0.044 ± 0.042,100
4,10,32,95.0,nodes32_pods128_prio1_util095_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,90.0 ± 30.2,10.0 ± 30.2,0.0 ± 0.0,100.0 ± 0.0,10875.1 ± 84.2,0.084 ± 0.036,0.084 ± 0.036,100
4,10,32,100.0,nodes32_pods128_prio1_util100_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,93.0 ± 25.6,7.0 ± 25.6,0.0 ± 0.0,100.0 ± 0.0,10855.9 ± 84.6,0.085 ± 0.036,0.084 ± 0.035,100
4,10,32,105.0,nodes32_pods128_prio1_util105_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,93.0 ± 25.6,7.0 ± 25.6,0.0 ± 0.0,100.0 ± 0.0,10836.0 ± 102.9,0.079 ± 0.037,0.077 ± 0.034,100
4,10,64,90.0,nodes64_pods256_prio1_util090_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.000 ± 0.007,-0.000 ± 0.007,100
4,10,64,95.0,nodes64_pods256_prio1_util095_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.000 ± 0.007,0.000 ± 0.007,100
