id,cpu_request,mem_request,inter_arrival_us,life_time_us,priority
clusterdata_2019_a:384702567839:353,0.003520965576171875,0.001708984375,1,437000000,0
clusterdata_2019_a:398962678259:1513,0.008636474609375,0.00531005859375,1,102000000,0
clusterdata_2019_a:384568640339:17752,0.0129547119140625,0.015625,0,44167000000,105
clusterdata_2019_a:381133866596:808,0.0017604827880859375,0.0130157470703125,1,1573000000,0
clusterdata_2019_a:398054942543:0,0.0034332275390625,0.00650787353515625,14,165000000,0
clusterdata_2019_a:382379527594:3,0.016204833984375,0.002605438232421875,1,54822000000,0
clusterdata_2019_a:397532970574:4089,0.01055908203125,0.009735107421875,1,3316000000,103
clusterdata_2019_a:375095044972:0,0.0027313232421875,0.0082244873046875,13,20000000,0
clusterdata_2019_a:377748894241:234,0.00554656982421875,0.003177642822265625,1,76000000,0
clusterdata_2019_a:384573273535:987,0.0034332275390625,0.001941680908203125,1,53000000,0
clusterdata_2019_a:396675165275:296,0.003875732421875,0.00650787353515625,1,165000000,0
clusterdata_2019_a:380687715030:570,0.0129547119140625,0.015625,1,71000000,0
clusterdata_2019_a:382911298220:15,0.002025604248046875,0.008575439453125,1,296000000,103
clusterdata_2019_a:385247863827:284,0.00757598876953125,0.002285003662109375,1,330000000,0
clusterdata_2019_a:384271660746:0,0.00510406494140625,0.013458251953125,1171511,61000000,0
clusterdata_2019_a:395307660294:2339,0.008270263671875,0.00650787353515625,1,46657000000,0
clusterdata_2019_a:383230661615:93,0.04052734375,0.00025463104248046875,1,1898000000,0
clusterdata_2019_a:381185140742:858,0.003875732421875,0.00650787353515625,1,151000000,0
clusterdata_2019_a:384033316832:143,0.0069580078125,0.002307891845703125,1,234000000,0
clusterdata_2019_a:399856016003:0,0.00405120849609375,0.00455474853515625,323648,767000000,0
clusterdata_2019_a:381010696838:440,0.003345489501953125,0.00650787353515625,1,818000000,0
clusterdata_2019_a:380843867119:11,0.0335693359375,0.00466156005859375,1,2322000000,0
clusterdata_2019_a:382742575154:484,0.24609375,0.026092529296875,1,127000000,0
clusterdata_2019_a:383069147691:2238,0.00246429443359375,0.0016536712646484375,1,1540000000,0
clusterdata_2019_a:382169146872:4552,0.0091552734375,0.00650787353515625,1,88000000,0
clusterdata_2019_a:381992552229:1,0.03125,0.00319671630859375,682465,33000000,200
clusterdata_2019_a:379346730296:3,0.028717041015625,0.003841400146484375,1,14325000000,0
clusterdata_2019_a:400451847170:418,0.008636474609375,0.00429534912109375,1,71000000,0
clusterdata_2019_a:397194484533:1638,0.009063720703125,0.00501251220703125,1,887000000,105
clusterdata_2019_a:388826571515:603,0.002288818359375,0.003177642822265625,1,1296000000,0
clusterdata_2019_a:381617960833:1552,0.0042266845703125,0.00650787353515625,1,52228000000,0
clusterdata_2019_a:383603995873:6060,0.0007047653198242188,0.0017719268798828125,1,118941000000,0
clusterdata_2019_a:385045592150:5,0.00704193115234375,0.001422882080078125,1,3822000000,0
clusterdata_2019_a:380222979981:54,0.003345489501953125,0.00650787353515625,1,93000000,0
clusterdata_2019_a:384899354025:45,0.0081939697265625,0.0011081695556640625,1,59000000,0
clusterdata_2019_a:400101031761:1048,0.003520965576171875,0.00212860107421875,1,140000000,0
clusterdata_2019_a:383864537119:0,0.007659912109375,0.003177642822265625,14,19000000,0
clusterdata_2019_a:383085150915:8,0.022308349609375,0.00726318359375,1,196013000000,0
clusterdata_2019_a:400085565910:831,0.002429962158203125,0.001953125,1,12596000000,0
clusterdata_2019_a:383087280791:300,0.008453369140625,0.00490570068359375,1,216000000,0
clusterdata_2019_a:382543391105:1382,0.003345489501953125,0.001712799072265625,1,63000000,0
clusterdata_2019_a:398981983564:756,0.002025604248046875,0.003620147705078125,1,419000000,0
